id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
17375,open,bjce,false,null,false,null,1,0,0,null
17374,closed,M1k3Comm,false,M1k3Comm,false,0,4,0,0,0
17372,open,gautamkvashisht,false,null,false,null,9,1,0,null
17371,open,rakesh491,false,null,false,null,1,0,0,null
17370,open,karthanistyr,false,null,false,null,1,0,1,null
17369,open,harmloh,false,null,false,null,1,0,1,null
17368,closed,new3943,false,Arcanemagus,false,0,1,0,0,0
17367,open,aleenaimran,false,null,false,null,1,0,2,null
17365,closed,menon95,false,50Wliu,false,0,1,0,0,0
17364,open,chbk,false,null,false,null,2,0,2,null
17360,closed,BuZZ-dEE,false,rsese,true,0,1,0,0,0
17359,closed,Letni1,false,rsese,true,0,1,0,0,0
17358,closed,massic80,false,massic80,false,0,1,0,0,0
17357,open,shipanmazumder,false,null,false,null,2,0,0,null
17356,open,schu-r,false,null,false,null,6,4,0,null
17355,open,artm,false,null,false,null,2,0,0,null
17353,closed,LeaVerou,false,50Wliu,false,0,1,0,0,0
17352,open,mattcollier,false,null,false,null,5,0,0,null
17349,closed,siliconblade,false,rsese,true,0,1,0,0,0
17348,closed,FelixB91,false,FelixB91,false,0,2,0,0,0
17347,closed,cedricspitzer,false,steveward,false,0,1,0,0,0
17346,closed,cedricspitzer,false,steveward,false,0,1,0,0,0
17101,closed,j24507,false,rsese,true,0,4,12,0,12
17100,open,adityavm,false,null,false,null,2,0,1,null
17099,closed,allancth,false,rsese,true,1,3,0,1,0
17098,closed,apollofernandes,false,rsese,true,1,1,0,1,0
17097,closed,SreejithDeveloper,false,Arcanemagus,false,0,1,0,0,0
17096,closed,meeprakash25,false,Ben3eeE,false,0,1,0,0,0
17095,closed,Daijobou,false,Daijobou,false,3,3,0,3,0
17094,open,bidva,false,null,false,null,6,2,0,null
17093,closed,nosubstitute959,false,lee-dohm,true,0,1,0,0,0
17092,closed,professorHugo,false,Arcanemagus,false,0,1,0,0,0
17091,closed,katymadier,false,Arcanemagus,false,0,1,0,0,0
17090,closed,ypossem,false,rsese,true,0,1,0,0,0
17086,closed,Daijobou,false,rsese,true,0,4,35,0,35
17085,closed,EnoraNedelec,false,lee-dohm,true,0,1,0,0,0
17084,closed,bidva,false,lee-dohm,true,0,1,0,0,0
17083,closed,unname123,false,Ben3eeE,false,0,1,0,0,0
17082,closed,greysonn,false,Ben3eeE,false,0,1,0,0,0
17081,closed,nyanzebra,false,rsese,true,4,7,4,0,0
17080,closed,orschiro,false,orschiro,false,1,3,1,0,0
17079,closed,G2PCraft,false,Ben3eeE,false,0,4,30,0,30
17078,closed,matt3224,false,Arcanemagus,false,0,3,0,0,0
17077,closed,ocssor,false,lee-dohm,true,0,1,0,0,0
17076,closed,WCat13,false,lee-dohm,true,0,4,0,0,0
17075,closed,PhotonSphere,false,lee-dohm,true,0,1,0,0,0
17074,open,iainrosen,false,null,false,null,8,8,0,null
17073,closed,rshrimp,false,Arcanemagus,false,0,1,0,0,0
14346,open,mikecousins,false,null,false,null,11,357,0,null
14345,closed,Nokel81,false,rsese,true,0,4,333,0,333
14344,closed,EsoterikStare,false,50Wliu,false,0,3,333,0,333
14343,closed,anriseth,false,anriseth,false,1,8,330,0,328
14342,closed,hatehatersclub,false,Ben3eeE,false,0,3,333,0,333
14341,closed,hatehatersclub,false,Ben3eeE,false,0,2,333,0,333
14340,closed,mithilarun,false,rsese,true,0,2,334,0,334
14338,closed,t9md,false,maxbrunsfeld,true,9,4,334,0,325
