id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1,closed,josh,true,probablycorey,true,1,0,null,null,null
10,closed,nathansobo,true,null,false,124,0,null,null,null
100,closed,probablycorey,true,null,false,104,27,1,0,102
1000,closed,mcolyer,true,mcolyer,true,4,2,0,2,1
10001,closed,svanharmelen,false,50Wliu,false,0,0,null,null,null
10004,closed,maxbrunsfeld,true,maxbrunsfeld,false,0,2,0,0,0
1001,closed,probablycorey,true,probablycorey,true,2,8,2,0,0
10010,closed,CentricStorm,false,null,false,115,0,null,null,null
10017,closed,as-cii,true,nathansobo,true,0,0,null,null,null
10027,closed,nathansobo,true,as-cii,true,2,0,null,null,null
10028,closed,nathansobo,true,as-cii,true,2,0,null,null,null
10029,closed,puls,false,null,false,292,0,null,null,null
1003,closed,zcbenz,true,zcbenz,true,2,0,null,null,null
10031,closed,lee-dohm,true,lee-dohm,false,3,2,0,0,3
10034,closed,Areadrill,false,null,false,662,2,11,95,555
10035,closed,abe33,false,null,false,2,0,null,null,null
1004,closed,kevinsawicki,true,kevinsawicki,true,1,0,null,null,null
10055,closed,ysakasin,false,null,false,30,0,null,null,null
10062,closed,maxbrunsfeld,true,maxbrunsfeld,false,0,0,null,null,null
10068,closed,lee-dohm,true,lee-dohm,false,34,0,null,null,null
10078,closed,bengotow,false,null,false,288,0,null,null,null
10084,closed,as-cii,true,as-cii,true,2,0,null,null,null
10085,closed,raelyard,false,null,false,75,10,10,19,45
10095,closed,maxbrunsfeld,true,maxbrunsfeld,false,0,0,null,null,null
1011,closed,zcbenz,true,zcbenz,true,0,0,null,null,null
1012,closed,kevinsawicki,true,kevinsawicki,true,1,0,null,null,null
10122,closed,paradoxxxzero,false,null,false,25,0,null,null,null
10126,closed,as-cii,true,as-cii,true,16,0,null,null,null
10139,closed,sparanoid,false,as-cii,true,16,0,null,null,null
10145,open,50Wliu,false,null,false,null,6,403,51,null
10171,closed,kuychaco,true,null,false,17,8,0,0,16
10178,closed,kuychaco,true,nathansobo,true,14,0,null,null,null
1018,closed,gjtorikian,true,null,false,102,0,null,null,null
1019,closed,mcolyer,true,mcolyer,true,2,0,null,null,null
1020,closed,probablycorey,true,probablycorey,true,1,13,1,0,0
10200,closed,WelcometomyblogJoebravo,false,null,false,0,0,null,null,null
10208,closed,paulcbetts,false,null,false,382,0,null,null,null
1021,closed,kevinsawicki,true,kevinsawicki,true,0,0,null,null,null
10219,closed,pimentel,false,lee-dohm,false,35,0,null,null,null
10226,closed,danielbayley,false,benogle,false,26,0,null,null,null
1023,closed,mcolyer,true,mcolyer,true,0,0,null,null,null
10233,closed,joshaber,true,joshaber,true,5,0,null,null,null
10236,closed,joshaber,true,joshaber,true,5,0,null,null,null
10247,closed,joshaber,true,joshaber,true,0,0,null,null,null
10249,closed,joshaber,true,joshaber,true,3,0,null,null,null
10256,closed,leo,false,lee-dohm,false,12,0,null,null,null
10257,closed,thisiskj,false,lee-dohm,false,0,0,null,null,null
10265,closed,wampiedriessen,false,null,false,269,6,21,4,243
10277,closed,nathansobo,true,nathansobo,true,0,0,null,null,null
1028,closed,kevinsawicki,true,kevinsawicki,true,1,0,null,null,null
10280,closed,mnquintana,false,mnquintana,false,0,0,null,null,null
10282,closed,as-cii,true,null,false,0,0,null,null,null
1029,closed,aroben,false,aroben,false,0,0,null,null,null
10292,closed,as-cii,true,null,false,0,0,null,null,null
10293,closed,as-cii,true,joshaber,true,16,0,null,null,null
10296,closed,viatsko,false,joshaber,true,0,0,null,null,null
10310,closed,kuychaco,true,kuychaco,true,0,0,null,null,null
1032,closed,kevinsawicki,true,kevinsawicki,true,1,0,null,null,null
10326,closed,raelyard,false,damieng,false,49,4,1,1,47
10327,closed,joshaber,true,joshaber,true,0,0,null,null,null
10328,closed,lee-dohm,true,lee-dohm,false,0,0,null,null,null
1033,closed,probablycorey,true,probablycorey,true,0,0,null,null,null
10332,closed,lee-dohm,true,mnquintana,false,0,2,0,0,0
10333,closed,50Wliu,false,null,false,0,0,null,null,null
10334,closed,50Wliu,false,maxbrunsfeld,false,0,0,null,null,null
10336,closed,50Wliu,false,maxbrunsfeld,false,0,0,null,null,null
10341,closed,mnquintana,false,joshaber,true,3,0,null,null,null
10349,closed,Tyriar,false,maxbrunsfeld,false,2,0,null,null,null
1035,closed,mcolyer,true,mcolyer,true,3,0,null,null,null
10352,closed,thedaniel,false,joshaber,true,5,3,0,3,2
10355,closed,ericdai,false,null,false,0,0,null,null,null
