id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
13010,open,damianobarbati,false,null,false,null,5,2,0,null
13008,open,theyezzyman,false,null,false,null,1,0,3,null
13004,closed,aemengo,false,codebytere,true,2,2,2,0,0
13002,open,ahmedmohamedali,false,null,false,null,0,null,null,null
13001,closed,zJesusJavier,false,brenca,false,0,2,0,0,0
13000,open,akontsevich,false,null,false,null,6,0,2,null
12997,open,TAGC,false,null,false,null,1,0,0,null
12996,open,happypoulp,false,null,false,null,0,null,null,null
12994,open,gioragutt,false,null,false,null,5,4,0,null
12992,closed,alexlee85,false,codebytere,true,0,2,0,0,0
12990,open,ctxhou,false,null,false,null,1,0,0,null
12989,closed,zjruan,false,MarshallOfSound,false,2,4,1,0,1
12988,closed,levinium,false,codebytere,true,0,7,0,0,0
12985,open,jordanbaucke,false,null,false,null,1,0,0,null
12739,closed,immanoj16,false,MarshallOfSound,false,0,1,0,0,0
12737,closed,chrilith,false,codebytere,true,19,9,19,0,0
12735,closed,peererror,false,sofianguy,false,13,2,10,2,0
12733,closed,abhieee23,false,MarshallOfSound,false,0,2,0,0,0
12732,closed,Ornataweaver,false,MarshallOfSound,false,0,3,2,0,2
12730,open,simke9445,false,null,false,null,1,0,2,null
12729,closed,hlcfan,false,MarshallOfSound,false,0,1,0,0,0
12728,closed,devguysin,false,sofianguy,false,0,1,0,0,0
12726,closed,davej,false,codebytere,true,21,6,18,3,0
12725,open,lmoesch,false,null,false,null,1,0,0,null
12724,closed,avi12,false,sofianguy,false,0,1,0,0,0
12722,closed,BoOpenfin,false,MarshallOfSound,false,1,3,4,0,3
12721,closed,SergeKauzunovich,false,SergeKauzunovich,false,0,2,0,0,0
12719,closed,peererror,false,sofianguy,false,0,2,0,0,0
12718,closed,chrilith,false,MarshallOfSound,false,1,2,0,1,0
12717,closed,alex1504,false,MarshallOfSound,false,0,4,0,0,0
12715,closed,renatosistemasvc,false,MarshallOfSound,false,0,3,0,0,0
12713,open,WriterDuet,false,null,false,null,1,0,0,null
12712,closed,vicatcu,false,nornagon,false,0,3,0,0,0
12711,closed,jrfitz,false,MarshallOfSound,false,0,2,0,0,0
12710,closed,timfish,false,codebytere,true,7,2,0,6,0
12709,closed,xuxiaoxin,false,MarshallOfSound,false,0,2,0,0,0
10007,closed,qazbnm456,false,kevinsawicki,true,4,0,null,null,null
10006,closed,zhengw060024,false,sofianguy,false,188,2,180,8,0
10005,closed,cjackson234,false,codebytere,true,308,4,9,299,0
10002,closed,mtpultz,false,MarshallOfSound,false,0,2,0,0,0
10001,closed,akashnimare,false,shubham2892,false,3,3,3,0,0
10000,closed,johnryan,false,codebytere,true,308,5,295,13,0
9999,closed,StefanSzakacs21,false,codebytere,true,309,4,269,40,0
9998,open,dpalou,false,null,false,null,0,null,null,null
9997,closed,yangbeom,false,yangbeom,false,107,5,107,0,0
9996,closed,fomenyesu,false,codebytere,true,75,2,75,0,0
9995,open,rophy,false,null,false,null,3,265,0,null
9994,open,KarenHuang2016,false,null,false,null,4,262,50,null
9993,closed,Call-Me-Uncle,false,pierreneter,false,0,2,0,0,0
9990,open,stanleyxu2005,false,null,false,null,1,0,22,null
9987,closed,andrei-cacio,false,zeke,true,96,9,2,0,94
9986,closed,JackieLs,false,codebytere,true,76,2,75,1,0
9985,open,dpalou,false,null,false,null,8,104,21,null
9984,open,daguej,false,null,false,null,0,null,null,null
9982,open,antonio-ramadas,false,null,false,null,4,148,139,null
9981,open,jgrosso,false,null,false,null,0,null,null,null
9980,closed,JackieLs,false,kevinsawicki,true,0,3,0,0,0
9979,open,JohannBlake,false,null,false,null,0,null,null,null
9978,closed,benlancaster,false,benlancaster,false,0,1,0,0,0
9977,closed,steem,false,enlight,false,0,1,0,0,0
9976,closed,stigrv,false,codebytere,true,191,1,0,191,0
9973,open,pfrazee,false,null,false,null,0,null,null,null
9971,closed,juturu,false,zeke,true,49,0,null,null,null
9970,closed,hhsnopek,false,codebytere,true,206,21,286,0,80
9969,open,starkos,false,null,false,null,3,36,1,null
9966,open,kochizufan,false,null,false,null,1,0,312,null
9965,closed,amircodota,false,MarshallOfSound,false,67,2,66,0,0
9960,closed,sancarn,false,codebytere,true,194,1,0,194,0
9958,closed,kcampion,false,kcampion,false,2,2,0,2,0
9957,open,clintharris,false,null,false,null,0,null,null,null
9956,closed,akashnimare,false,akashnimare,false,0,3,0,0,0
9955,closed,komiIT,false,sofianguy,false,195,1,0,195,0
9954,open,mickael-kerjean,false,null,false,null,2,0,210,null
9952,open,TimNZ,false,null,false,null,1,0,4,null
9949,closed,alexstrat,false,zcbenz,true,17,0,null,null,null
9948,closed,poojas2288,false,MarshallOfSound,false,0,1,0,0,0
9945,closed,ehguo,false,ehguo,false,1,3,0,1,0
9944,closed,juturu,false,ckerr,true,154,0,null,null,null
9943,closed,juturu,false,ckerr,true,197,19,153,78,34
9942,open,craxal,false,null,false,null,3,0,1,null
9941,open,pabloleban,false,null,false,null,0,null,null,null
9940,closed,Devhercule,false,kevinsawicki,true,0,2,0,0,0
9939,closed,as-cii,true,as-cii,true,214,5,214,0,0
9938,closed,kongyuan,false,sofianguy,false,197,6,197,0,0
9937,closed,hanfengcan,false,MarshallOfSound,false,0,2,0,0,0
9936,open,l7s,false,null,false,null,0,null,null,null
9935,closed,JBarna,false,JBarna,false,140,3,81,59,0
9933,closed,gregor,false,zcbenz,true,203,8,239,7,43
9932,closed,sqwk,false,sqwk,false,0,2,0,0,0
9930,closed,pabloleban,false,pabloleban,false,0,5,0,0,0
9928,closed,WhiteFur,false,kevinsawicki,true,13,0,null,null,null
9927,closed,jorangreef,false,codebytere,true,198,2,198,0,0
9926,closed,TanninOne,false,codebytere,true,203,23,198,5,0
9925,closed,jakubzitny,false,jakubzitny,false,0,3,307,0,307
9924,closed,saadbinsaeed,false,MarshallOfSound,false,0,1,0,0,0
9923,closed,rishabh1403,false,shubham2892,false,2,3,1,0,0
9922,closed,zhoufeifan,false,enlight,false,27,5,27,0,0
9921,closed,w8w8w8,false,enlight,false,0,1,0,0,0
9920,closed,Amthieu,false,MarshallOfSound,false,0,13,151,0,151
9919,open,akashnimare,false,null,false,null,5,176,0,null
9917,open,maxcr,false,null,false,null,3,6,4,null
9916,open,poojas2288,false,null,false,null,3,0,248,null
9915,closed,henrywong,false,MarshallOfSound,false,0,0,null,null,null
9914,open,rensiu,false,null,false,null,1,0,58,null
9913,open,akashnimare,false,null,false,null,0,null,null,null
9912,closed,craftpip,false,paulcbetts,false,0,2,5,0,5
9911,closed,aankur,false,aankur,false,1,2,1,0,0
9910,closed,dantrevino,false,MarshallOfSound,false,0,1,0,0,0
9909,closed,cjg125,false,pierreneter,false,11,8,14,0,3
9908,open,astoilkov,false,null,false,null,0,null,null,null
9907,closed,Morphexe,false,enlight,false,0,2,0,0,0
9906,open,pravdomil,false,null,false,null,0,null,null,null
9904,closed,p3x-robot,false,p3x-robot,false,52,2,24,5,22
9902,closed,p3x-robot,false,codebytere,true,203,3,181,22,0
9901,open,paulbennet,false,null,false,null,2,0,109,null
9900,open,thomaslule,false,null,false,null,3,4,4,null
9898,closed,sancarn,false,sancarn,false,0,0,null,null,null
9897,open,nkt,false,null,false,null,0,null,null,null
9895,closed,Devhercule,false,Devhercule,false,111,0,null,null,null
9894,closed,vjijardar,false,MarshallOfSound,false,0,1,0,0,0
9891,open,Devhercule,false,null,false,null,0,null,null,null
9890,open,ziedhajsalah,false,null,false,null,10,119,0,null
9889,closed,chiqui3d,false,chiqui3d,false,0,1,0,0,0
9888,open,Devhercule,false,null,false,null,2,161,0,null
9887,closed,basiclaser,false,MarshallOfSound,false,0,2,0,0,0
9886,closed,cumajkeee,false,codebytere,true,216,4,117,101,2
9885,closed,Echo-Peak,false,MarshallOfSound,false,0,0,null,null,null
9884,closed,TheRolfFR,false,MarshallOfSound,false,0,1,0,0,0
9882,open,zeke,true,null,false,null,6,5,0,null
9880,closed,astoilkov,false,MarshallOfSound,false,84,8,56,0,26
9879,open,bpasero,false,null,false,null,0,null,null,null
9878,closed,bpasero,false,bpasero,false,162,4,121,40,0
9877,open,bpasero,false,null,false,null,0,null,null,null
9876,open,bpasero,false,null,false,null,0,null,null,null
9875,open,bpasero,false,null,false,null,0,null,null,null
9874,closed,bpasero,false,codebytere,true,315,4,230,85,0
9873,closed,oniseijin,false,MarshallOfSound,false,0,5,0,0,0
9872,closed,naheller,false,MarshallOfSound,false,0,2,0,0,0
9871,closed,akshaygore06,false,MarshallOfSound,false,0,2,0,0,0
9868,closed,timfish,false,timfish,false,0,4,0,0,0
9866,closed,yoshifan509,false,MarshallOfSound,false,0,2,0,0,0
9865,closed,poiru,false,poiru,false,0,2,0,0,0
9864,closed,ZweiZhao,false,enlight,false,0,1,0,0,0
9863,closed,lubov15911,false,lubov15911,false,0,1,0,0,0
9862,closed,aprilmintacpineda,false,sofianguy,false,205,8,0,0,205
9861,open,cumajkeee,false,null,false,null,1,0,220,null
9860,closed,amn,false,codebytere,true,211,4,21,211,21
9859,closed,xinhui-hui,false,MarshallOfSound,false,0,1,0,0,0
9858,closed,CptMaumau,false,sofianguy,false,291,2,8,282,0
9854,closed,KarenHuang2016,false,alespergl,false,0,4,2,0,1
9851,closed,poiru,false,codebytere,true,317,7,307,10,0
9849,open,amircodota,false,null,false,null,3,2,53,null
9846,closed,keyiis,false,sofianguy,false,206,1,0,206,0
9845,open,ronalb,false,null,false,null,2,21,64,null
9844,closed,uudiin,false,uudiin,false,0,0,null,null,null
9843,closed,Gunnthorian,false,sofianguy,false,207,1,0,207,0
9842,open,sindresorhus,false,null,false,null,5,111,0,null
9840,open,inukshuk,false,null,false,null,16,279,26,null
9839,closed,phas0r,false,MarshallOfSound,false,1,1,0,1,0
