id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
100,closed,zcbenz,true,zcbenz,false,0,0,null,null,null
1000,closed,yibuyisheng,false,kevinsawicki,true,0,0,null,null,null
10003,closed,poiru,false,poiru,false,0,0,null,null,null
10004,closed,TiagoDanin,false,zeke,true,2,0,null,null,null
10008,closed,qazbnm456,false,kevinsawicki,true,4,2,0,0,3
10015,closed,kevinsawicki,true,kevinsawicki,true,3,0,null,null,null
1002,closed,zcbenz,true,zcbenz,false,15,0,null,null,null
10029,closed,gerhardberger,false,null,false,26,0,null,null,null
10046,closed,omerfarukozdemir,false,kevinsawicki,true,0,0,null,null,null
10048,closed,kevinsawicki,true,kevinsawicki,true,0,0,null,null,null
10049,closed,zeke,true,kevinsawicki,true,0,0,null,null,null
10050,closed,kevinsawicki,true,kevinsawicki,true,0,0,null,null,null
10052,closed,poiru,false,zcbenz,false,69,1,0,1,67
10053,closed,alespergl,false,alespergl,false,4,0,null,null,null
10058,closed,zeke,true,zeke,true,0,0,null,null,null
10062,closed,joe-re,false,zeke,true,6,0,null,null,null
10070,closed,zcbenz,true,zcbenz,false,10,0,null,null,null
10071,closed,joshaber,true,kevinsawicki,true,1,0,null,null,null
10075,closed,alexstrat,false,zcbenz,false,3,0,null,null,null
10076,closed,alexstrat,false,zcbenz,false,55,2,0,55,0
10081,closed,renaesop,false,zcbenz,false,26,4,23,0,3
10085,closed,zeke,true,zeke,true,4,0,null,null,null
10089,closed,AndreasM-Avd26,false,null,false,0,0,null,null,null
1009,closed,zcbenz,true,zcbenz,false,0,0,null,null,null
10090,closed,3n-mb,false,null,false,149,7,128,0,20
10091,closed,3n-mb,false,null,false,0,0,null,null,null
10092,closed,3n-mb,false,null,false,74,0,null,null,null
10097,closed,liusy182,false,poiru,false,3,0,null,null,null
10099,closed,zcbenz,true,zcbenz,false,6,0,null,null,null
