id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
3011,open,Sliptory,false,null,false,null,1,0,2,null
3009,closed,dutchscout,false,ttaylorr,true,0,3,1,0,1
3008,closed,nusasara,false,ttaylorr,true,0,5,1,0,1
3007,open,TingluoHuang,false,null,false,null,0,null,null,null
3006,closed,gbasin,false,gbasin,false,0,2,1,0,1
3005,open,yutamago,false,null,false,null,1,0,1,null
3004,open,krassik,false,null,false,null,2,1,1,null
3003,closed,volotom,false,ttaylorr,true,2,3,0,2,0
3002,open,artuntun,false,null,false,null,1,0,2,null
3001,closed,WilliamBotura,false,ttaylorr,true,0,2,0,0,0
3000,open,awmcclain,false,null,false,null,2,0,0,null
2999,closed,GVinkovic,false,ttaylorr,true,0,1,0,0,0
2998,closed,tysonzero,false,ttaylorr,true,1,1,0,1,0
2993,closed,niik,true,ttaylorr,true,0,1,0,0,0
2992,closed,ensc,false,ttaylorr,true,0,1,0,0,0
2991,closed,jomark-t,false,ttaylorr,true,1,2,2,1,2
2990,closed,jbstewart,false,ttaylorr,true,1,1,0,1,0
2989,closed,volotom,false,ttaylorr,true,2,9,0,0,1
2988,closed,ppKrauss,false,ttaylorr,true,7,7,4,2,0
2987,closed,gitFJUIM,false,ttaylorr,true,0,6,0,0,0
2986,closed,Jura-Z,false,ttaylorr,true,0,1,0,0,0
2984,open,agunnerson-ibm,false,null,false,null,4,4,0,null
2981,closed,teebszet,false,ttaylorr,true,0,1,0,0,0
2731,closed,Aketzu,false,ttaylorr,true,0,1,0,0,0
2729,closed,TingluoHuang,false,ttaylorr,true,1,1,0,1,0
2728,open,technoweenie,false,null,false,null,1,0,35,null
2727,closed,Ridha-ELB,false,technoweenie,false,1,2,0,0,0
2726,closed,HosseinAssaran,false,ttaylorr,true,154,6,12,3,139
2725,closed,thebigfootsdad,false,technoweenie,false,2,1,0,2,0
2724,closed,lucananni93,false,ttaylorr,true,40,2,36,3,0
2723,closed,Permafacture,false,ttaylorr,true,39,5,39,0,0
2720,closed,tarioch,false,ttaylorr,true,34,4,34,0,0
2718,closed,npkhoa2197,false,npkhoa2197,false,0,0,null,null,null
2717,closed,jextrevor,false,ttaylorr,true,45,1,0,1,43
2714,closed,fabriziocucci,false,ttaylorr,true,12,0,null,null,null
2713,closed,fabriziocucci,false,ttaylorr,true,12,0,null,null,null
2712,closed,technoweenie,false,ttaylorr,true,120,5,74,45,0
2711,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
