id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
100,closed,technoweenie,false,technoweenie,false,4,0,null,null,null
1006,closed,technoweenie,false,technoweenie,false,6,0,null,null,null
1007,closed,jlehtnie,false,technoweenie,false,52,9,42,7,2
1008,closed,rlaakkol,false,null,false,1,0,null,null,null
101,closed,technoweenie,false,technoweenie,false,3,0,null,null,null
1012,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1016,closed,technoweenie,false,technoweenie,false,2,0,null,null,null
1017,closed,technoweenie,false,technoweenie,false,2,0,null,null,null
1019,closed,bradh,false,null,false,1,0,null,null,null
1023,closed,technoweenie,false,technoweenie,false,0,2,0,0,0
1024,closed,sinbad,false,null,false,0,0,null,null,null
1025,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1026,closed,technoweenie,false,technoweenie,false,37,0,null,null,null
1027,closed,technoweenie,false,null,false,0,0,null,null,null
1028,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1030,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1036,closed,technoweenie,false,null,false,43,0,null,null,null
1037,closed,technoweenie,false,null,false,0,0,null,null,null
1038,closed,technoweenie,false,null,false,15,3,0,0,14
1039,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1040,closed,technoweenie,false,null,false,41,8,14,0,26
1042,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1045,closed,andyneff,false,technoweenie,false,0,0,null,null,null
1048,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
105,closed,technoweenie,false,rubyist,true,0,0,null,null,null
1051,closed,sinbad,false,sinbad,false,1,3,0,0,0
1054,closed,technoweenie,false,technoweenie,false,2,0,null,null,null
1058,closed,steffix0168,false,null,false,0,0,null,null,null
106,closed,rubyist,true,technoweenie,false,0,0,null,null,null
1060,closed,miumok98,false,null,false,0,0,null,null,null
1067,closed,sinbad,false,sinbad,false,6,10,0,0,6
1070,closed,sinbad,false,sinbad,false,4,0,null,null,null
1071,closed,technoweenie,false,technoweenie,false,25,8,2,0,22
1076,closed,javabrett,false,technoweenie,false,30,0,null,null,null
1078,closed,epriestley,false,technoweenie,false,0,0,null,null,null
1079,closed,technoweenie,false,null,false,15,0,null,null,null
1080,closed,sinbad,false,sinbad,false,0,0,null,null,null
1081,closed,sinbad,false,sinbad,false,0,0,null,null,null
1082,closed,epriestley,false,technoweenie,false,0,0,null,null,null
1083,closed,epriestley,false,technoweenie,false,0,0,null,null,null
1084,closed,epriestley,false,technoweenie,false,0,0,null,null,null
1085,closed,epriestley,false,null,false,150,3,35,0,115
1087,closed,epriestley,false,sinbad,false,0,0,null,null,null
1091,closed,sinbad,false,sinbad,false,4,1,0,0,4
1093,closed,anatolyborodin,false,sinbad,false,2,0,null,null,null
1094,closed,anatolyborodin,false,sinbad,false,2,0,null,null,null
1096,closed,epriestley,false,sinbad,false,2,0,null,null,null
1102,closed,javabrett,false,technoweenie,false,8,0,null,null,null
1103,closed,javabrett,false,null,false,8,0,null,null,null
1104,closed,sinbad,false,sinbad,false,13,1,0,13,0
1105,closed,sschuberth,false,technoweenie,false,16,0,null,null,null
1106,closed,chittunoo,false,null,false,0,0,null,null,null
1107,closed,sinbad,false,sinbad,false,0,0,null,null,null
111,closed,shiftkey,true,technoweenie,false,0,3,0,0,0
1115,closed,javabrett,false,technoweenie,false,0,0,null,null,null
1117,closed,artagnon,false,null,false,134,7,0,11,122
1118,closed,sinbad,false,sinbad,false,4,3,4,0,0
112,closed,rubyist,true,rubyist,true,0,1,0,0,0
1122,closed,rjbell4,false,technoweenie,false,1,0,null,null,null
1127,closed,technoweenie,false,technoweenie,false,6,0,null,null,null
1128,closed,technoweenie,false,technoweenie,false,1,11,1,0,0
113,closed,technoweenie,false,technoweenie,false,2,0,null,null,null
1130,closed,javabrett,false,technoweenie,false,7,0,null,null,null
1133,closed,sinbad,false,null,false,132,7,3,0,128
1134,closed,sinbad,false,technoweenie,false,3,0,null,null,null
1135,closed,jonmagic,true,technoweenie,false,0,0,null,null,null
1136,closed,technoweenie,false,technoweenie,false,3,0,null,null,null
114,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1141,closed,nirgeier,false,null,false,5,0,null,null,null
1143,closed,strich,false,technoweenie,false,1,0,null,null,null
1144,closed,technoweenie,false,technoweenie,false,0,0,null,null,null
1145,closed,technoweenie,false,technoweenie,false,1,0,null,null,null
1146,closed,pascalberger,false,technoweenie,false,85,0,null,null,null
