id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1446,open,rianadon,false,null,false,null,0,null,null,null
1445,open,Place1,false,null,false,null,0,null,null,null
1442,open,TimvdLippe,false,null,false,null,0,null,null,null
1441,closed,bestony,false,bestony,false,27,1,0,27,0
1440,open,lrosser,false,null,false,null,0,null,null,null
1439,open,teonivalois,false,null,false,null,0,null,null,null
1438,open,jaydhary14,false,null,false,null,0,null,null,null
1436,open,rektide,false,null,false,null,0,null,null,null
1435,closed,PEPEInvest,false,mose,false,0,0,null,null,null
1434,closed,kavya05,false,kavya05,false,5,2,0,0,4
1433,open,tedsc,false,null,false,null,3,46,0,null
1432,open,meirinaldojunior,false,null,false,null,2,0,28,null
1431,open,strowk,false,null,false,null,0,null,null,null
1430,open,kavya05,false,null,false,null,0,null,null,null
1424,open,napiera,false,null,false,null,0,null,null,null
1423,open,zhengsh,false,null,false,null,0,null,null,null
1422,open,vivekpatani,false,null,false,null,0,null,null,null
1421,closed,ileathan,false,mose,false,2,2,2,0,0
1420,open,inkWave,false,null,false,null,1,0,38,null
1419,open,orlando9006,false,null,false,null,1,0,39,null
1417,closed,yujmo,false,yujmo,false,0,1,0,0,0
1159,closed,khoi-thinh,false,khoi-thinh,false,6,21,6,0,0
1158,closed,mklemme,false,bkeepers,true,402,2,396,6,0
1157,closed,khoi-thinh,false,khoi-thinh,false,7,6,4,0,2
1156,closed,tonybaloney,false,bkeepers,true,413,1,0,413,0
1153,closed,twellspring,false,stale[bot],false,443,5,434,0,8
1152,closed,marceloslacerda,false,bkeepers,true,405,2,405,0,0
1146,closed,khoi-thinh,false,khoi-thinh,false,12,0,null,null,null
1145,closed,khoi-thinh,false,khoi-thinh,false,12,0,null,null,null
1144,closed,dylanh724,false,bkeepers,true,411,1,0,2,408
1143,closed,pchaigno,false,pchaigno,false,7,7,6,0,0
1141,closed,portgasd666,false,bkeepers,true,413,3,413,0,0
1140,closed,vikaskedia,false,stale[bot],false,530,5,522,0,7
1139,closed,KasperDeng,false,bkeepers,true,428,1,0,428,0
1138,closed,gasolin,false,stale[bot],false,559,20,541,11,7
1137,closed,fanhengxing,false,bkeepers,true,426,3,405,21,0
1132,closed,jackolney,false,jackolney,false,453,4,0,453,0
1131,closed,preynal,false,technicalpickles,true,468,3,464,4,0
1129,closed,john-grandy-opentable,false,stale[bot],false,488,7,503,16,31
1126,closed,kengz,false,stale[bot],false,495,3,484,1,8
1125,closed,astus08,false,technicalpickles,true,5,3,3,2,0
1124,closed,chrispeterson3,false,chrispeterson3,false,21,4,344,21,344
1118,closed,pholleran,true,technicalpickles,true,0,9,606,0,606
1117,closed,kengz,false,kengz,false,0,2,0,0,0
1113,closed,technicalpickles,true,stale[bot],false,516,1,0,507,8
1112,closed,clayreimann,false,stale[bot],false,516,7,524,0,7
1108,closed,CezaryRynkowski,false,CezaryRynkowski,false,131,6,159,0,29
1107,closed,radeksimko,false,stale[bot],false,518,4,507,2,8
1105,closed,gotchahn,false,bkeepers,true,504,1,0,2,501
1102,closed,glensc,false,stale[bot],false,537,3,507,20,8
1100,closed,technicalpickles,true,technicalpickles,true,33,2,33,0,0
1098,open,technicalpickles,true,stale[bot],false,null,5,531,0,null
1096,closed,viruscmd,false,technicalpickles,true,28,0,null,null,null
1093,closed,pchaigno,false,stale[bot],false,556,4,547,0,8
1089,closed,it33,false,technicalpickles,true,61,4,60,0,0
1088,closed,cycomachead,false,bkeepers,true,528,5,527,1,0
1087,open,sankethkatta,false,stale[bot],false,null,7,738,0,null
1086,closed,douglasduteil,false,technicalpickles,true,67,11,67,0,0
1085,closed,framerate,false,mose,false,547,8,529,17,0
1084,closed,ecerta,false,technicalpickles,true,56,3,56,0,0
1082,open,technicalpickles,true,stale[bot],false,null,4,582,0,null
1080,closed,sggncucumber,false,technicalpickles,true,59,7,537,0,477
1079,closed,ravikiranj,false,technicalpickles,true,196,3,0,0,196
1078,closed,renanvicente,false,stale[bot],false,582,16,573,0,8
1076,closed,jeremybras,false,technicalpickles,true,67,1,0,0,67
1075,closed,webhamm,false,stale[bot],false,588,9,596,0,7
1072,closed,JensDebergh,false,JensDebergh,false,0,11,12,0,12
1071,closed,joanrodriguez,false,technicalpickles,true,74,2,33,40,0
1070,closed,technicalpickles,true,michaelansel,false,3,2,3,0,0
1067,closed,webhamm,false,michaelansel,false,0,1,0,0,0
1064,closed,CrazyPython,false,technicalpickles,true,99,1,0,99,0
1063,open,technicalpickles,true,stale[bot],false,null,5,916,0,null
1062,closed,technicalpickles,true,stale[bot],false,713,6,614,92,7
1061,closed,jamespwright,false,bkeepers,true,571,18,571,0,0
1060,closed,ecnepsnai,false,technicalpickles,true,95,1,0,95,0
1059,closed,lilnate22,false,mose,false,590,3,590,0,0
1058,closed,technicalpickles,true,stale[bot],false,621,1,0,612,8
1057,open,technicalpickles,true,stale[bot],false,null,9,37,612,null
1055,closed,technicalpickles,true,technicalpickles,true,639,7,632,0,6
1053,closed,callumacrae,false,bkeepers,true,590,7,590,0,0
1051,closed,cycomachead,false,stale[bot],false,631,12,612,9,8
1047,closed,oinirio,false,oinirio,false,25,1,0,0,25
1046,closed,praseodym,false,stale[bot],false,722,5,591,123,7
1045,closed,WillPresley,false,WillPresley,false,0,2,0,0,0
1044,closed,denielleanne,false,mose,false,620,2,608,12,0
1040,closed,edc1591,false,edc1591,false,0,3,0,0,0
1036,closed,dcsan,false,stale[bot],false,653,11,643,0,8
1034,closed,gerred,false,gerred,false,590,8,631,0,41
1027,closed,webhamm,false,webhamm,false,15,2,15,0,0
1026,closed,kengz,false,stale[bot],false,665,5,657,0,8
1024,closed,n0mer,false,technicalpickles,true,1,4,1,0,1
1023,closed,jacobtomlinson,false,bkeepers,true,628,7,627,0,0
1022,closed,kengz,false,stale[bot],false,670,6,656,4,8
1018,closed,ezgoodnight,false,ezgoodnight,false,0,5,0,0,0
1015,closed,vongohren,false,stale[bot],false,677,3,665,3,8
1014,closed,mshwery,false,stale[bot],false,680,7,671,0,8
1013,closed,wylieswanson,false,stale[bot],false,681,14,671,1,8
1010,closed,kengz,false,mose,false,664,4,672,1,10
1009,closed,gavriguy,false,technicalpickles,true,3,12,711,3,711
1008,closed,cycomachead,false,bhuga,false,0,4,0,0,0
1002,closed,sdimkov,false,technicalpickles,true,51,0,null,null,null
1001,closed,wpmjones,false,wpmjones,false,4,2,0,13,9
998,closed,Chris911,false,michaelansel,false,0,2,7,0,7
997,closed,sdimkov,false,stale[bot],false,708,11,699,0,8
995,closed,Jaglag,false,michaelansel,false,4,4,1,2,0
992,closed,cycomachead,false,stale[bot],false,712,1,0,1,711
990,closed,tylkas,false,michaelansel,false,17,3,10,7,0
989,closed,michaelansel,false,stale[bot],false,716,0,null,null,null
988,closed,brpaz,false,mose,false,693,4,693,0,0
987,closed,ianwesty,false,technicalpickles,true,0,2,1,0,1
985,closed,michaelansel,false,technicalpickles,true,204,9,179,0,25
983,closed,jexe,false,michaelansel,false,9,1,0,0,9
979,closed,NanoDami,false,technicalpickles,true,8,6,8,0,0
977,closed,jasonkarns,false,technicalpickles,true,1,14,1,0,0
976,closed,shaundon,false,stale[bot],false,728,6,16,0,712
972,closed,Sing-Li,false,bhuga,false,0,2,0,0,0
968,closed,technicalpickles,true,stale[bot],false,730,2,8,0,721
965,open,technicalpickles,true,stale[bot],false,null,12,736,5,null
963,closed,victorhooi,false,stale[bot],false,733,7,12,3,718
960,closed,bkeepers,true,bkeepers,true,1,1,0,1,0
957,closed,victorhooi,false,stale[bot],false,735,1,0,1,733
954,closed,eliassal,false,stale[bot],false,738,4,1,3,733
953,closed,sdimkov,false,bkeepers,true,8,16,10,2,4
952,closed,victorhooi,false,stale[bot],false,745,5,9,0,736
950,closed,ambikads,false,mose,false,724,6,728,5,9
948,closed,victorhooi,false,victorhooi,false,2,2,2,0,0
946,closed,a-x-,false,technicalpickles,true,0,1,0,0,0
