id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1000,closed,J-tt,false,null,false,15,0,null,null,null
1003,closed,sdimkov,false,technicalpickles,false,50,0,null,null,null
1004,closed,sdimkov,false,technicalpickles,false,11,1,0,0,11
1005,closed,bkeepers,true,bkeepers,false,11,0,null,null,null
1006,closed,jennifersmith,false,michaelansel,false,1,0,null,null,null
1007,closed,MyvarHD,false,michaelansel,false,2,0,null,null,null
101,closed,allanca,false,null,false,0,6,3,0,2
1011,closed,sdimkov,false,technicalpickles,false,21,0,null,null,null
1012,closed,alininja,false,technicalpickles,false,77,2,18,0,59
1016,closed,michaelansel,false,michaelansel,false,0,0,null,null,null
1017,closed,kristenmills,false,michaelansel,false,3,0,null,null,null
1019,closed,bhuga,false,technicalpickles,false,19,53,21,0,1
1020,closed,bhuga,false,michaelansel,false,9,0,null,null,null
1021,closed,bhuga,false,bhuga,false,98,6,40,56,0
1025,closed,sharabash,false,null,false,731,0,null,null,null
1028,closed,michaelansel,false,michaelansel,false,0,2,0,0,0
1029,closed,michaelansel,false,null,false,159,0,null,null,null
103,closed,djl,false,atmos,false,0,2,0,0,0
1030,closed,michaelansel,false,michaelansel,false,0,0,null,null,null
1031,closed,michaelansel,false,null,false,728,0,null,null,null
1032,closed,michaelansel,false,technicalpickles,false,9,0,null,null,null
1033,closed,bkeepers,true,technicalpickles,false,2,0,null,null,null
1035,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
1037,closed,michaelansel,false,michaelansel,false,0,0,null,null,null
1038,closed,bhuga,false,bhuga,false,0,0,null,null,null
1039,closed,danielcompton,false,technicalpickles,false,0,0,null,null,null
104,closed,victorcoder,false,atmos,false,0,0,null,null,null
1041,closed,davidkassa,false,technicalpickles,false,40,0,null,null,null
1042,closed,xuoe,false,technicalpickles,false,0,0,null,null,null
1043,closed,zitterbewegung,false,null,false,0,0,null,null,null
1048,closed,bhuga,false,null,false,70,0,null,null,null
1049,closed,doque,false,michaelansel,false,0,0,null,null,null
1050,closed,scboucher,false,null,false,27,0,null,null,null
1052,closed,technicalpickles,true,technicalpickles,false,126,0,null,null,null
1054,closed,gregkare,false,null,false,119,0,null,null,null
1056,closed,brodul,false,null,false,773,0,null,null,null
106,closed,cldwalker,false,null,false,0,1,0,0,0
1065,closed,bhuga,false,null,false,99,0,null,null,null
1066,closed,CrazyPython,false,null,false,0,0,null,null,null
1068,closed,scboucher,false,michaelansel,false,9,1,0,0,9
1069,closed,technicalpickles,true,bhuga,false,22,0,null,null,null
1073,closed,Floby,false,null,false,0,0,null,null,null
1074,closed,msabramo,false,michaelansel,false,0,1,0,0,0
1077,closed,scboucher,false,michaelansel,false,10,0,null,null,null
1081,closed,bhuga,false,technicalpickles,false,69,0,null,null,null
1083,closed,bhuga,false,bhuga,false,0,0,null,null,null
1090,closed,heitorlessa,false,null,false,60,0,null,null,null
1091,closed,jtc9921,false,null,false,44,0,null,null,null
1092,closed,jbick,false,technicalpickles,false,44,0,null,null,null
1094,closed,mdelagrange,false,technicalpickles,false,35,0,null,null,null
1095,closed,kauffecup,false,technicalpickles,false,40,0,null,null,null
1097,closed,ellisv,false,technicalpickles,false,27,0,null,null,null
1099,closed,philnash,false,technicalpickles,false,22,0,null,null,null
110,closed,mexitek,false,atmos,false,1,9,1,0,0
1101,closed,cycomachead,false,technicalpickles,false,21,0,null,null,null
1103,closed,aqnouch,false,technicalpickles,false,7,0,null,null,null
1104,closed,pchaigno,false,null,false,7,0,null,null,null
1106,closed,gotchahn,false,bkeepers,false,504,4,14,0,489
1109,closed,technicalpickles,true,technicalpickles,false,11,1,0,55,44
111,closed,OiNutter,false,atmos,false,0,0,null,null,null
1110,closed,technicalpickles,true,null,false,581,2,0,55,525
