id, state, user_opened, employee_open, user_closed, employee_closed, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
4132,open,yantang-msft,false,null,false,null,2,0,0,null
4129,open,RobQuistNL,false,null,false,null,2,0,0,null
4127,closed,MegaKruk,false,MegaKruk,false,0,0,null,null,null
4125,closed,olegburov,false,olegburov,false,2,2,2,0,0
4124,open,KrzysztofSzewczyk,false,null,false,null,15,2,0,null
4122,closed,Peter-Simpson,false,Peter-Simpson,false,0,9,0,0,0
4121,closed,5N44P,false,5N44P,false,0,7,1,0,1
4119,closed,stefmolin,false,lildude,true,2,2,0,0,2
4116,open,hypothermic,false,null,false,null,2,0,0,null
4113,open,Naville,false,null,false,null,15,15,0,null
4112,open,grant,false,null,false,null,7,4,0,null
4110,closed,Pigrecos,false,pchaigno,false,0,1,0,0,0
4108,closed,davidar,false,lildude,true,12,3,12,0,0
4107,closed,aminaibrahim,false,Alhadis,false,0,1,0,0,0
4105,closed,svnpenn,false,svnpenn,false,0,4,0,0,0
3854,closed,FlyingJester,false,pchaigno,false,28,1,0,0,28
3850,closed,junaid1460,false,junaid1460,false,0,3,0,0,0
3849,closed,sayRequil,false,pchaigno,false,0,1,0,0,0
3848,closed,Dimmerworld,false,Dimmerworld,false,0,0,null,null,null
3847,closed,luminescent,false,luminescent,false,0,3,0,0,0
3845,closed,peter-moran,false,peter-moran,false,0,2,0,0,0
3843,open,q5sys,false,null,false,null,2,0,56,null
3842,closed,Iolaum,false,Iolaum,false,0,4,0,0,0
3841,closed,ANybakk,false,pchaigno,false,61,5,55,6,0
3840,closed,xilopaint,false,xilopaint,false,1,2,1,0,0
3838,closed,edulorandi,false,Alhadis,false,1,3,0,1,0
3836,closed,peterhalpin,false,peterhalpin,false,0,2,0,0,0
3835,closed,tmadhuri,false,pchaigno,false,46,2,46,0,0
3834,closed,zeusdeux,false,zeusdeux,false,0,2,0,0,0
3833,closed,jannesrsa,false,jannesrsa,false,0,5,0,0,0
3832,closed,dgholz,false,kivikakk,true,25,7,8,18,1
3831,closed,Elmuti,false,lildude,true,0,2,0,0,0
3830,closed,Ppjet6,false,pchaigno,false,69,4,0,0,69
3827,closed,Always-Sunny,false,pchaigno,false,51,1,0,0,51
3826,closed,headupinclouds,false,headupinclouds,false,0,4,0,0,0
3825,closed,karyon,false,lildude,true,126,10,125,0,0
1099,closed,vickimcatee,false,arfon,false,0,3,1,0,1
1091,closed,acarabott,false,arfon,false,221,7,221,0,0
1079,closed,0xcaff,false,0xcaff,false,0,4,0,0,0
1077,closed,trillioneyes,false,trillioneyes,false,0,3,0,0,0
1076,closed,troybetz,false,troybetz,false,75,2,75,0,0
1074,closed,e8johan,false,arfon,false,238,8,676,0,438
1067,closed,Programie,false,bkeepers,true,141,7,141,0,0
1066,closed,ryancoleman,false,arfon,false,320,5,162,158,0
1062,closed,GourdErwa,false,gjtorikian,false,3,0,null,null,null
1061,closed,Air-Craft,false,bkeepers,true,203,5,203,0,0
1059,closed,joelluijmes,false,bkeepers,true,204,2,192,11,0
1055,closed,Michagogo,false,bkeepers,true,10,2,10,0,0
1054,closed,Gallefray,false,bkeepers,true,206,7,206,0,0
1051,closed,shrayasr,false,bkeepers,true,14,4,0,0,14
1050,closed,andygrunwald,false,jdennes,false,73,0,null,null,null
1048,closed,reubano,false,reubano,false,170,7,170,0,0
1047,closed,yukunlin,false,bkeepers,true,209,7,209,0,0
1044,closed,TheFrozenFire,false,arfon,false,210,4,229,0,18
1043,closed,DuncanMC,false,bkeepers,true,209,5,209,0,0
1039,closed,nhgrif,false,bkeepers,true,211,2,211,0,0
1037,closed,philleonard,false,arfon,false,210,7,210,0,0
1034,closed,gmuse,false,arfon,false,198,2,198,0,0
1032,closed,DX-MON,false,bkeepers,true,214,6,212,1,0
1031,closed,lancejpollard,false,bkeepers,true,19,2,18,0,0
1029,closed,SanjayYadav90,false,bkeepers,true,20,1,0,8,11
1028,closed,juliangehring,false,juliangehring,false,103,4,103,0,0
1025,closed,ScrimpyCat,false,bkeepers,true,217,13,217,0,0
1024,closed,dejancaric,false,arfon,false,24,1,0,0,24
1022,closed,Shoelace,false,Shoelace,false,25,5,25,0,0
1021,closed,tristanfisher,false,tristanfisher,false,0,2,0,0,0
1020,closed,jcubic,false,arfon,false,338,4,634,0,295
1019,closed,danieldiekmeier,false,arfon,false,206,12,208,0,2
1016,closed,kargakis,false,kargakis,false,0,2,0,0,0
1013,closed,baruchel,false,arfon,false,219,3,0,0,218
