id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
10,closed,carlosgaldino,false,josh,false,0,0,null,null,null
100,closed,ghost,false,josh,false,0,0,null,null,null
1002,closed,matthew-white,false,arfon,false,32,0,null,null,null
1003,closed,Shoelace,false,null,false,317,0,null,null,null
1005,closed,draegtun,false,arfon,false,31,0,null,null,null
1008,closed,garyb,false,arfon,false,30,0,null,null,null
101,closed,dom96,false,josh,false,0,0,null,null,null
1010,closed,ghost,false,null,false,29,0,null,null,null
1011,closed,CrimsonTautology,false,rick,false,29,0,null,null,null
1014,closed,pchaigno,false,arfon,false,27,0,null,null,null
1015,closed,derekprior,false,null,false,237,0,null,null,null
1017,closed,AndrewRose,false,null,false,26,0,null,null,null
1018,closed,RyanNielson,false,null,false,3,0,null,null,null
1023,closed,Shoelace,false,null,false,203,0,null,null,null
1026,closed,pchaigno,false,arfon,false,24,0,null,null,null
1027,closed,ScrimpyCat,false,null,false,487,0,null,null,null
103,closed,timurb,false,josh,false,0,0,null,null,null
1030,closed,developerinlondon,false,null,false,226,0,null,null,null
1033,closed,ScrimpyCat,false,null,false,244,1,0,214,29
1035,closed,akissinger,false,arfon,false,62,0,null,null,null
1036,closed,DX-MON,false,null,false,204,0,null,null,null
1038,closed,Jille,false,null,false,197,0,null,null,null
104,closed,earwig,false,josh,false,12,0,null,null,null
1040,closed,Mikulas,false,arfon,false,20,0,null,null,null
1041,closed,Mikulas,false,bkeepers,true,18,0,null,null,null
1042,closed,juliangehring,false,arfon,false,63,1,0,63,0
1045,closed,Ocramius,false,null,false,18,0,null,null,null
1046,closed,fingolfin,false,arfon,false,16,0,null,null,null
1049,closed,sebgod,false,arfon,false,15,0,null,null,null
105,closed,brynary,false,josh,false,12,0,null,null,null
1052,closed,shrayasr,false,bkeepers,true,14,0,null,null,null
1053,closed,prasannavl,false,null,false,74,0,null,null,null
1056,closed,spderosso,false,arfon,false,12,0,null,null,null
1060,closed,kohenkatz,false,arfon,false,11,0,null,null,null
1063,closed,lucaswerkmeister,false,bkeepers,true,4,0,null,null,null
1064,closed,bkeyoumarsi,false,null,false,0,0,null,null,null
1065,closed,bkeyoumarsi,false,null,false,2,0,null,null,null
1068,closed,nkt,false,arfon,false,6,0,null,null,null
1069,closed,frank-dspeed,false,null,false,6,0,null,null,null
107,closed,thorade,false,josh,false,9,0,null,null,null
1070,closed,frank-dspeed,false,null,false,0,0,null,null,null
1071,closed,jkutner,false,arfon,false,4,0,null,null,null
1072,closed,snormore,false,arfon,false,5,0,null,null,null
1073,closed,rayvector,false,arfon,false,5,0,null,null,null
1075,closed,rick,false,rick,false,0,0,null,null,null
1078,closed,wcandillon,false,null,false,1,0,null,null,null
108,closed,utkarshkukreti,false,josh,false,9,0,null,null,null
1080,closed,arfon,false,arfon,false,0,0,null,null,null
1081,closed,rick,false,rick,false,0,0,null,null,null
1082,closed,arfon,false,arfon,false,0,0,null,null,null
1083,closed,rick,false,rick,false,0,0,null,null,null
1084,closed,arfon,false,arfon,false,0,0,null,null,null
1085,closed,rick,false,rick,false,0,0,null,null,null
1086,closed,arfon,false,arfon,false,0,0,null,null,null
1087,closed,rick,false,rick,false,0,0,null,null,null
1088,closed,arfon,false,arfon,false,39,0,null,null,null
1089,closed,rick,false,rick,false,0,0,null,null,null
109,closed,alokmenghrajani,false,josh,false,3,0,null,null,null
1090,closed,rick,false,rick,false,0,0,null,null,null
1092,closed,arfon,false,arfon,false,0,0,null,null,null
1093,closed,arfon,false,arfon,false,0,0,null,null,null
1094,closed,arfon,false,arfon,false,0,0,null,null,null
1095,closed,wcandillon,false,arfon,false,0,0,null,null,null
1096,closed,arfon,false,arfon,false,0,0,null,null,null
