"","atom","electron","gitlfs","hubot","linguist"
"fep_median",0,0,0,0,0.464285714285714
"cep_median",0,0,0,0,0
"rep_median",0.0647856922602529,0,0,0,0
"unp_median",0,0,0,0,0
"map_median",0,0,0,0,0
"fep_mean",0.14786384893305,0.137676627298804,0.194714597204522,0.207340746166098,0.857877631881999
"cep_mean",0.541303894808957,0.706211075915869,0.18864657533856,0.187937852749554,0.0898522384147193
"rep_mean",2.77051274959542,0.853591095625674,0.200194381641828,0.308286199176017,0.269021492990879
"unp_mean",0.199182277500898,0.729069876926169,0.195584668704183,0.174181403101674,1.33405543881992
"map_mean",1.06874729808687,0.819879895662056,0.220859777110906,0.122253798806657,0.109483155459669
