hash, user, site_admin, author_date, empty, forward_engineering, corrective_engineering, reengineering, uncategorized, management, empty_percent, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent, classification
23dfeba1c1219f27fc277d7336e6e8fa6d987d68,simonsj,true,2013-09-17T18:14:24Z,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
26455f9be7e7c40ff849e73cd8a492b18fbf664b,pseudomuto,false,2013-08-15T14:09:52Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
2dc16f6f7f24c6ba62d5ba5c52ccb72e2d7c7ad2,unok,false,2014-09-18T09:59:35Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
63b6842b453e70ee01ede0744fdd7319cd67d297,ablwr,false,2015-02-11T21:08:02Z,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
5ffcc7fd28c863b2c3886d60561acc360e8a7fcd,TheIronMarx,false,2014-11-07T16:38:04Z,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
2e1c49ed4c3723596522989d8e5e170fbf23be8e,jcbantuelle,false,2015-05-07T20:02:56Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
00d781ef7a20ed2806110c0d4a5df40de631ed98,keithduncan,true,2015-03-25T06:34:04Z,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,Uncategorized
9740039c449e2a485c912ba87514186c516d6359,todd,false,2015-02-14T18:00:27Z,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,Forward Engineering
bbe5af3d88aa6f7e4e8cbfbea57371c2906f2358,kristenmills,false,2015-07-30T04:10:17Z,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,Corrective Engineering
e09133b264d0e9dcfd15c2f63ab4e2e1daac0911,espy,false,2017-06-12T13:55:27Z,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,Uncategorized
ff384dec1ed57349a0baf54dd76b3bd8ac24ab4c,tfausak,false,2013-06-08T22:30:44Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
59b4b8ac18471366772139c2e81a830546b967d3,uugengiven,false,2015-07-18T18:51:30Z,0.0,0.0,3.0,3.0,0.0,40.0,0.0,0.0,0.06521739130434782,0.06521739130434782,0.0,0.8695652173913043,Corrective Engineering
7821896f16d5a5da8c5b5279e9ba620d0171d411,vinbarnes,false,2014-01-08T17:15:59Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
278ee5f0ba298a48a308443c14c6a12dad06fc2f,ta1kt0me,false,2015-05-09T14:20:11Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
d0b1369bdd5d7e0007040faab0e9dd699b662224,cannikin,false,2013-10-16T23:44:21Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
45b507c52a74bb9f0202cfd4122cee48f36facc5,vanetix,false,2013-09-10T21:08:18Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
d25c0b78d00bc7f86a17a648ab10b4f895259ea9,petedmarsh,false,2015-04-29T20:08:13Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
558c3ac19474f0045d2c3e5a287b858cfea78dd9,xhan,false,2014-01-01T03:44:04Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
0db362813a50378546057f25b961376379e4af36,thogg4,false,2014-01-30T04:20:20Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
