hash, user, site_admin, author_date, empty, forward_engineering, corrective_engineering, reengineering, uncategorized, management, empty_percent, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent, classification
f66ffe305fa539369a2a95c12cf3c91532a2d489,juliangehring,false,2014-06-06T15:57:11Z,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,Reengineering
78394596078c1994296312ca2088473ab816b7a5,HerbertKoelman,false,2013-01-10T23:43:24Z,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Management
777f1d27d19bd019b45398d1e5104548eb9079a0,zulus,false,2013-08-23T00:53:26Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
17a946358831a776fcacbe8be7dbed29c2dbac10,scop,false,2016-02-14T20:08:21Z,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
60f864a138650dd17fafc94814be9ee2d3aaef8c,goodmind,false,2017-05-29T05:46:56Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
b66fcb252908fc489a700793291e216705b55664,alexlouden,false,2017-02-20T10:09:59Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
f473c555ac51011c4b679d52f9b3e72e3bc9f38d,choofie,false,2017-01-03T22:10:49Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
550b67215c2d62410da4f4daaad2dfe249866cde,meatballhat,false,2015-11-08T11:39:36Z,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,Forward Engineering
e99f6edb56239373b88ac4a1c282ef72c224a118,MattDMo,false,2015-01-05T18:41:58Z,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5,Uncategorized
92282e36775205c5a7f037e870fb4f49fd73e104,bricker,false,2013-11-06T02:28:01Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
3260b06241913c1726d4dd36e4b017afe0494301,josh-padnick,false,2018-01-12T17:27:41Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
24eb965adbde09c30f89d1cccba0b19ed96a944a,matthew-white,false,2014-03-19T22:50:44Z,0.0,28.0,0.0,0.0,8.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.2222222222222222,0.0,Forward Engineering
8c42e612716313a03771f1652b2c27ffa1de08e6,jsocol,false,2013-07-22T18:54:37Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
b34acac7220722f128c96b3b75a73c57e9724d59,jeffkreeftmeijer,false,2015-10-09T22:10:37Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
3b2ddb1a18f64e00d69afb74079f4317dbee21f1,apennebaker-ni,false,2015-05-01T16:25:16Z,0.0,10.0,0.0,0.0,26.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.7222222222222222,0.0,Uncategorized
